time,open,close,high,low,vol,amount,market
1619661600.0,38.2955,37.9115,38.2973,37.8178,42.15274244,1602.576932546001,BCHAUSDT
1619668800.0,37.9109,37.5732,37.9114,37.573,33.16243882,1251.182181702074,BCHAUSDT
1619676000.0,37.5723,38.019,38.4393,37.5358,513.22509912,19515.283661953403,BCHAUSDT
1619683200.0,38.0196,37.7536,38.2289,37.6408,93.74751465,3559.90137958135,BCHAUSDT
1619690400.0,37.7534,37.8612,38.6,37.7162,102.06541342,3893.919121742163,BCHAUSDT
1619697600.0,37.8604,37.5707,38.2941,36.9321,709.08479879,26692.590234109983,BCHAUSDT
1619704800.0,37.5347,37.2902,37.5347,35.0001,1753.26174384,62635.006424282605,BCHAUSDT
1619712000.0,37.2918,37.0306,37.2927,36.0791,184.87593754,6795.043648874723,BCHAUSDT
1619719200.0,37.03,37.1038,37.3641,36.826,146.12732208,5412.68235470209,BCHAUSDT
1619726400.0,37.1042,36.1598,37.1042,35.6211,145.81733373,5290.236026530383,BCHAUSDT
1619733600.0,36.16,36.814,37.038,36.16,175.895611,6450.48165447688,BCHAUSDT
1619740800.0,36.8138,36.3389,37.486,35.6934,387.19090388,14236.767462712203,BCHAUSDT
1619748000.0,36.3398,36.6328,36.6707,36.3056,29.40314747,1072.859033145414,BCHAUSDT
1619755200.0,36.633,37.1517,37.2619,36.6297,58.14864417,2149.766615476923,BCHAUSDT
1619762400.0,37.1524,37.5951,37.5987,37.1524,40.42363269,1514.140380578302,BCHAUSDT
1619769600.0,37.5958,37.6112,37.8498,37.3365,70.49957786,2654.029573387826,BCHAUSDT
1619776800.0,37.6125,37.7195,37.9067,37.5736,36.15666558,1364.708030966416,BCHAUSDT
1619784000.0,37.7193,38.3237,38.5205,37.604,189.2967603,7221.431371915972,BCHAUSDT
1619791200.0,38.3251,39.001,39.0012,38.0193,160.65211535,6185.637470325046,BCHAUSDT
1619798400.0,39.0012,39.6906,40.2093,39.0,170.54787006,6757.429390931725,BCHAUSDT
1619805600.0,39.6904,39.2576,39.6908,39.2562,29.36764078,1159.932004668466,BCHAUSDT
1619812800.0,39.2578,39.1395,39.3367,39.0605,51.50041088,2018.745706552918,BCHAUSDT
1619820000.0,39.1398,39.9402,39.9581,39.0983,59.73653738,2359.116728609371,BCHAUSDT
1619827200.0,39.9387,41.6338,42.0,39.9387,322.66721668,13260.957534782821,BCHAUSDT
1619834400.0,41.6119,42.2612,43.0,41.6113,135.09553124,5740.422755293014,BCHAUSDT
1619841600.0,42.2615,41.3012,42.2615,41.3008,77.42484545,3235.865258282002,BCHAUSDT
1619848800.0,41.3018,40.8079,41.3422,39.8398,280.54732261,11377.370975135265,BCHAUSDT
1619856000.0,40.8075,40.6422,40.8075,40.5637,27.34183303,1112.36205291571,BCHAUSDT
1619863200.0,40.6412,40.8207,41.0875,39.9595,178.54490236,7221.981130505776,BCHAUSDT
1619870400.0,40.8209,41.4592,41.8,40.113,379.80897363,15525.402577577506,BCHAUSDT
1619877600.0,41.4596,40.5129,41.4617,40.5121,153.72340616,6300.307505297656,BCHAUSDT
1619884800.0,40.5137,41.2342,41.6663,40.0334,344.76900825,14103.856639671088,BCHAUSDT
1619892000.0,41.2332,41.5013,41.7935,40.5,195.36240053,8020.981950701979,BCHAUSDT
1619899200.0,41.5011,40.8045,41.5019,40.8029,37.39873236,1540.115858485851,BCHAUSDT
1619906400.0,40.8048,41.0455,41.1305,40.4776,56.64564205,2310.45065490658,BCHAUSDT
1619913600.0,41.0451,40.5342,41.0471,40.477,418.97714235,16979.661845540082,BCHAUSDT
1619920800.0,40.5338,40.4789,41.9,40.477,154.38156249,6353.713771358312,BCHAUSDT
1619928000.0,40.477,40.3006,40.477,40.2578,50.31423088,2030.55380010306,BCHAUSDT
1619935200.0,40.299,40.4193,40.4193,40.299,72.77457042,2939.744209075583,BCHAUSDT
1619942400.0,40.4189,40.3028,40.419,40.2984,85.49673696,3453.65775109115,BCHAUSDT
1619949600.0,40.3047,40.581,40.7848,40.0,243.83979008,9879.280771235693,BCHAUSDT
1619956800.0,40.5782,40.136,40.5782,40.1333,26.76375025,1079.769432789825,BCHAUSDT
1619964000.0,40.1362,39.9378,40.9,39.9369,97.41306919,3942.940000885538,BCHAUSDT
